,Author,Bookmarks,Comments,Post stats,Tags,Title,Views
365,Artgor,149,9.0,25.0,"['Обработка изображений', 'Машинное обучение', 'Python', 'Data Mining', 'Блог компании Open Data Science']",Как сделать проект по распознаванию рукописных цифр с дообучением онлайн. Гайд для не совсем начинающих,"13,5k"
366,telezhnaya,115,80.0,44.0,"['Программирование', 'Машинное обучение', 'Python', 'Блог компании Microsoft']","Как создать расистский ИИ, даже не пытаясь. Часть 1","25,1k"
367,a-pichugin,13,8.0,,"['Машинное обучение', 'Python', 'Data Mining', 'Big Data', 'Блог компании New Professions Lab']",Российские девушки в Data Science. Часть 1,"6,2k"
368,Deepwalker,28,,9.0,['Python'],Trafaret как парсер. Реализация JSON Schema,"3,3k"
369,AlexeySushkov,82,15.0,13.0,"['Машинное обучение', 'Python', 'Data Mining', 'Big Data', 'Блог компании Nexign (ранее «Петер-Сервис»)']",Машинное обучение: от Ирисов до Телекома,"9,8k"
370,danila_savenkov,126,10.0,55.0,"['Машинное обучение', 'Математика', 'Python', 'Data Mining', 'Блог компании Open Data Science']",Kaggle Mercedes и кросс-валидация,19k
371,bbidox,91,19.0,76.0,"['Тестирование веб-сервисов', 'Совершенный код', 'Отладка', 'Python', 'Блог компании Badoo']",Тавтологические тесты,"17,4k"
372,SolidMinus,59,12.0,12.0,"['Машинное обучение', 'Информационная безопасность', 'Алгоритмы', 'Python']",Нейроаутентификация: введение в биометрическую аутентификацию,"6,4k"
373,AloneCoder,262,58.0,69.0,"['Проектирование и рефакторинг', 'Высокая производительность', 'Анализ и проектирование систем', 'Python', 'Блог компании Mail.Ru Group']",Управление памятью в Python,"29,5k"
374,s2002kir,34,13.0,,"['Функциональное программирование', 'Python']",Некоторые приемы функционального программирования в Python,"4,5k"
375,wtf_object,23,,13.0,"['Программирование', 'Python', 'Блог компании Селектел']",Библиотека python-selvpcclient,"3,5k"
376,Scorobey,58,1.0,8.0,"['Разработка под Windows', 'Математика', 'Python']",Игровая модель поведения на рынке двух конкурирующих фирм на Python,"5,9k"
377,icmizer,110,7.0,10.0,"['Системы обмена сообщениями', 'Python']",Встроенные кнопки в Telegram Bot API,"48,8k"
378,justwack,134,22.0,37.0,['Python'],Мемоизация и каррирование (Python),13k
379,sgaynetdinov,66,7.0,5.0,"['Вконтакте API', 'Python', 'API']",Скачиваем фото из Instagram с помощью бота Вконтакте,"6,5k"
380,svk28,43,5.0,15.0,"['Функциональное программирование', 'Python']","Всё познаётся в сравнении, или реализация одной простенькой задачи на python и tcl","8,1k"
381,shulyndina,83,,12.0,"['Программирование', 'Python', 'Django', 'Блог компании IT-People']",PYCON RUSSIA 2017: видео всех докладов и презентации,"7,8k"
